,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2288,Je suis très déçue par ce site,06 novembre 2021,True,Showroomprive.com,1
2289,Service client totalement incompétent,06 novembre 2021,True,Showroomprive.com,1
2290,Fauteuil incomplet,06 novembre 2021,True,Showroomprive.com,1
2291,Déception complète pour l'achat de vêtements,06 novembre 2021,True,Showroomprive.com,1
2292,Prélèvement double et SAV médiocre!,05 novembre 2021,True,Showroomprive.com,1
2293,Quelle VASTE BLAGUE! Action en Justice afin que cela CESSE pour de bon!,05 novembre 2021,True,Showroomprive.com,1
2294,COLIS NON LIVRÉ,05 novembre 2021,True,Showroomprive.com,1
2295,J'ai commandé il y a plus d'1 mois…,04 novembre 2021,True,Showroomprive.com,1
2296,J'ai commandé 3 lots de portes de…,04 novembre 2021,True,Showroomprive.com,1
2297,Objet reçu cassé,04 novembre 2021,True,Showroomprive.com,1
2298,Produits qui arrivent défectueux,03 novembre 2021,True,Showroomprive.com,1
2299,j'ai commandé des parrure de lits…,03 novembre 2021,True,Showroomprive.com,1
2300,J'attends un colis depuis le 06/10/21,03 novembre 2021,True,Showroomprive.com,1
2301,Je suis écœurée,03 novembre 2021,True,Showroomprive.com,1
2302,Demande SAV sans réponse,22 octobre 2021,True,Showroomprive.com,2
2303,Rappel,02 novembre 2021,True,Showroomprive.com,1
2304,Je suis très déçue par ce site,30 octobre 2021,True,Showroomprive.com,1
2305,ARNAQUE PEUT-ÊTRE TOXIQUE EN PLUS,25 octobre 2021,True,Showroomprive.com,1
2306,A fuir produits de très mauvaise facture,07 octobre 2021,True,Showroomprive.com,1
2307,A ÉVITER,30 octobre 2021,True,Showroomprive.com,1
2308,N° Commande,30 octobre 2021,True,Showroomprive.com,1
2309,Arnaqueurs et site pas sérieux,30 octobre 2021,True,Showroomprive.com,1
2310,Travaille avec des fournisseurs peu…,14 mai 2021,True,Showroomprive.com,1
2311,Commande non reçue et la moitié de la…,29 octobre 2021,True,Showroomprive.com,1
2312,j'ai réservé un voyage aux Baléares le…,28 octobre 2021,True,Showroomprive.com,1
2313,20mn pour acheter,27 octobre 2021,True,Showroomprive.com,2
